state,district,taluk,village
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Eguvamamidi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Eguvasobha
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gaddibanda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gaddibanda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gadiguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gadilalova
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gangavaram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gangavaram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gangudivalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Garugubilli
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gatuguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gazzellagaruvu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Getuvalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Godugumamidipalem
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gommangipadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gondiguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Goppulapalem
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gorregommu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gottipadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gudem
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gujjali
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gulamalapalle
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gumma
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gummanti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gummanti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gummidipadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gurajala
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gurilova
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Heetaguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Jakariguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Jalada
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Jampaputtu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Jamuguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Jeelugulapadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Jeenapadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Jeerugedda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Jorlaguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kadarevu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kagulagaruvu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kakarapadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kamalapuram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kambavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kambavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kannamgaruvu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kantipuram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kapativalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Karaiguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Karaiguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Karakavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Karakavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Karakavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Karivesu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Karriguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kasipatnam
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Katika
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Katimanuvalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Katturu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kavaliguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kittalingi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kittayyatota
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kivarla
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kodamaguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kondavenkatapuram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kondemkota
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kondiba
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kontysimidi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kosamamidi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kotaparti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kotaparti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kotapartivalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kotharevallapalem
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kothavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kothavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottamguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottavalasa @ Verumulapuram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kotturu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kotyaguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Krishnapuram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kudiya
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kumburti
